,name,price,description,image_url,category,created_at
,Trà măng cụt,22000,"Trà măng cụt thanh mát, ngọt dịu, hòa quyện hương trái cây nhiệt đới và vị trà nhẹ, tạo cảm giác tươi mới.",../products/image/tra-mang-cut.png,Đồ Uống,
,Trà dưa lưới,25000,"Trà dưa lưới ngọt mát, thơm dịu, kết hợp vị trà nhẹ và hương dưa lưới tươi, sảng khoái, dễ uống.",../products/image/tra-dua-luoi.png,Đồ Uống,
,Trà xoài chanh dây,30000,"Trà xoài chanh dây chua ngọt hài hòa, thơm mát, vị trái cây nhiệt đới tươi mới, giúp giải khát và tỉnh táo.",../products/image/tra-xoai-chanh-day.png,Đồ Uống,
,Trà dâu,25000,"Trà dâu ngọt dịu, thơm mát, kết hợp vị trà nhẹ và dâu tươi mọng, mang lại cảm giác tươi trẻ, dễ chịu.",../products/image/tra-dau.png,Đồ Uống,
,Trà me muối ớt ,25000,"Trà me muối ớt chua cay mặn ngọt độc đáo, kích thích vị giác, thơm lừng, cực kỳ cuốn hút và giải khát hiệu quả.",../products/image/tra-me-muoi-ot.png,Đồ Uống,
,Trà nho,25000,"Trà nho ngọt thanh, thơm mát, hòa quyện hương nho tươi và vị trà nhẹ, mang lại cảm giác sảng khoái, dễ chịu.",../products/image/tra-nho.png,Đồ Uống,
,Trà sữa thái xanh,25000,Trà sữa Thái xanh là sự hòa quyện giữa trà xanh Thái Lan đậm đà và sữa béo thơm lừng. ,../products/image/tra-sua-thai-xanh.webp,Đồ Uống,
,Trà sữa thái đỏ,25000,"Loại trà sữa đặc trưng của Thái Lan với màu đỏ cam bắt mắt, mang hương vị trà đen nồng nàn pha lẫn với vị sữa ngọt dịu.",../products/image/tra-sua-thai-do.webp,Đồ Uống,
,Soda chanh,25000,"Thức uống tươi mát được pha từ nước chanh tươi và soda có ga, thêm chút đường hoặc mật ong để điều vị.",../products/image/soda-chanh.jpg,Đồ Uống,
,Soda việt quất,25000,"Soda việt quất có màu tím đẹp mắt, hương vị chua ngọt tự nhiên từ siro việt quất kết hợp với nước soda có ga tạo cảm giác mới lạ.",../products/image/soda-viet-quat.jpg,Đồ Uống,
,Cà phê muối,20000,"Cà phê đen pha muối nhẹ, đậm đà, hậu vị béo mặn nhẹ lạ miệng.",../products/image/ca-phe-muoi.jpg,Đồ Uống,
,Nước ép cam,20000,"Cam tươi nguyên chất, vị chua ngọt, bổ sung vitamin C.",../products/image/nuoc-ep-cam.jpg,Đồ Uống,
,Nước ép dứa,20000,"Dứa chín ép lạnh, vị chua ngọt dịu nhẹ, thanh mát.",../products/image/nuoc-ep-dua.jpg,Đồ Uống,
,Sinh tố xoài,25000,"Xoài chín xay mịn, ngọt đậm, mát lạnh, dễ uống.",../products/image/sinh-to-xoai.jpg,Đồ Uống,
,Sinh tố dâu,25000,"Dâu tây tươi xay cùng sữa, màu hồng đẹp, vị chua ngọt dịu.",../products/image/sinh-to-dau.jpg,Đồ Uống,
,Trà hoa cúc,25000,"Nước hoa cúc thanh mát, dịu nhẹ, dễ chịu, giúp thư giãn.",../products/image/tra-hoa-cuc.jpg,Đồ Uống,
,Trà sữa phô mai tươi,30000,"Vị trà sữa béo ngậy kết hợp với lớp kem phô mai mặn mặn, thơm ngon.",../products/image/tra-sua-pho-mai-tuoi.jpg,Đồ Uống,
,Trà sữa Oreo,30000,Trà sữa truyền thống kết hợp vụn bánh Oreo tạo vị giòn nhẹ và béo bùi.,../products/image/tra-sua-oreo.jpg,Đồ Uống,
,Trà đào hồng trà macchiato,30000,Hồng trà đậm đà kết hợp đào ngâm và lớp kem mặn phía trên.,../products/image/tra-dao-hong-tra-macchiato.jpg,Đồ Uống,
,Sữa chua nếp cẩm,30000,"Vị chua nhẹ của sữa chua quyện với nếp cẩm dẻo thơm, rất được ưa chuộng",../products/image/sua-chua-nep-cam.jpg,Đồ Uống,
,Sữa chua việt quất,30000,"Mát lạnh với vị chua ngọt tự nhiên, phù hợp ngày nóng.",../products/image/sua-chua-viet-quat.jpg,Đồ Uống,
,Cam sả mật ong,30000,Vị cam chua ngọt dịu nhẹ với hương thơm sả đặc trưng.,../products/image/cam-sa-mat-ong.jpg,Đồ Uống,
,socola bạc hà,30000,Thức uống mùa hè với socola đậm vị và cảm giác the mát của bạc hà.,../products/image/socola_bac_ha.jpg,Đồ Uống,
,Trà sữa than tre,30000,"Độc đáo với màu đen tự nhiên, kết hợp vị béo ngậy từ sữa",../products/image/tra-sua-than-tre.jpg,Đồ Uống,
,Detox chanh sả mật ong,30000,"Hỗn hợp thanh lọc cơ thể, ngon và tốt cho tiêu hóa.",../products/image/detox-chanh-sa-mat-ong.jpg,Đồ Uống,
,Trà sữa matcha đậu đỏ,30000,Hương matcha nhẹ nhàng kết hợp đậu đỏ ngọt bùi.,../products/image/tra-sua-matcha-dau-do.jpg,Đồ Uống,
,Trà sữa bạc hà,25000,"Vị béo nhẹ của sữa kết hợp với hương bạc hà mát lạnh, mang lại cảm giác tươi mới dễ chịu.",../products/image/tra-sua-bac-ha.jpg,Đồ Uống,
,Trà hoa đậu biếc mật ong,25000,"Màu xanh tím tự nhiên từ hoa đậu biếc, kết hợp mật ong ngọt dịu, tốt cho sức khỏe.",../products/image/tra-hoa-dau-biec-mat-ong.jpg,Đồ Uống,
,Trà sữa khoai môn,30000,"Màu tím đẹp mắt, hương thơm bùi bùi, vị béo nhẹ từ khoai môn và sữa.",../products/image/tra-sua-khoai-mon.jpg,Đồ Uống,
,Sữa tươi kem trứng,30000,"Lớp kem trứng béo ngậy phủ trên sữa tươi mát lạnh, tạo vị mịn màng độc đáo.",../products/image/sua-tuoi-kem-trung.jpg,Đồ Uống,
,Sinh tố mãng cầu,25000,"Mãng cầu chín xay mịn, chua ngọt dịu, giải nhiệt và tốt cho hệ tiêu hóa.",../products/image/sinh-to-mang-cau.png,Đồ Uống,
,Nước ép ổi hồng,20000,"Vị ngọt thanh, thơm nhẹ đặc trưng của ổi hồng, giàu vitamin C, tốt cho da.",../products/image/nuoc-ep-oi-hong.jpeg,Đồ Uống,
,Soda dâu tây,25000,"Sủi bọt mát lạnh kết hợp vị chua ngọt của dâu tây, thích hợp dùng khi trời nóng.",../products/image/soda-dau-tay.jpg,Đồ Uống,
,Cacao đá xay,30000,"Cacao nguyên chất xay nhuyễn với đá và sữa, đậm đà, thơm béo, kích thích vị giác.",../products/image/cacao-da-xay.jpg,Đồ Uống,
,Trà thanh long đỏ,25000,"Màu sắc bắt mắt từ thanh long đỏ, vị ngọt thanh mát, phù hợp cho người ăn uống lành mạnh.",../products/image/tra-thanh-long-do.png,Đồ Uống,
,Sữa chua xoài,25000,"Sự kết hợp giữa xoài chín ngọt và sữa chua lên men, tạo vị chua ngọt hài hòa dễ uống.",../products/image/sua-chua-xoai.jpg,Đồ Uống,
